日期,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20240702,300329,海伦钢琴,买入,3.85,150000,577500.00
20240702,300670,大烨智能,买入,6.27,78100,490069.69
20240702,300374,中铁装配,买入,15.29,17300,264526.00
20240702,300930,屹通新材,卖出,26.28,-3800,-99875.02
20240702,301314,科瑞思,卖出,40.21,-5700,-229170.21
20240702,300189,神农科技,卖出,2.11,-267900,-565269.00
20240702,300462,华铭智能,卖出,11.88,-39700,-471651.88
20240715,002015,协鑫能科,卖出,8.64,-63200,-546048.00
20240715,000430,张家界,买入,6.14,139900,858710.37
20240715,301005,超捷股份,卖出,26.93,-31000,-834938.10
20240716,301488,豪恩汽电,买入,67.27,9600,645810.96
20240716,831526,凯华材料,买入,19.57,26161,511970.77
20240716,000430,张家界,买入,6.05,45200,273319.88
20240716,000430,张家界,卖出,6.07,-69900,-424293.00
20240717,831526,凯华材料,卖出,21.88,-26161,-572334.66
20240717,600250,南京商旅,买入,8.69,37000,321530.00
20240717,301488,豪恩汽电,卖出,63.33,-9600,-607946.83
20240717,301005,超捷股份,买入,25.34,12400,314270.56
